Canali/righe EXTINF modificate: 104
Match automatici univoci: 0
ID già validi preservati: 34

Rete 4 | Rete4.it -> Rete.4.it | id:Rete4.it
Canale 5 | Canale5.it -> Canale.5.it | id:Canale5.it
Italia 1 | Italia1.it -> Italia.1.it | id:Italia1.it
LA7 | la7 -> LA7.HD.it | id:la7
TV8 SD | Tv8.it -> TV8.HD.it | id:Tv8.it
EuroNews Italia | PlutoEuronews.it -> Euronews.it | id:PlutoEuronews.it
Mediaset 20 | 20Mediaset.it -> 20.it | id:20Mediaset.it
Rai 4 | rai4.it -> Rai4.it | id:rai4.it
Iris | iris.it -> Iris.it | id:iris.it
Rai 5 | rai5.it -> Rai5.it | id:rai5.it
Rai Movie | raimovie.it -> RaiMovie.it | id:raimovie.it
Rai Premium | raipremium.it -> RaiPremium.it | id:raipremium.it
TwentySeven | Twentyseven.it -> 27.Twentyseven.it | id:Twentyseven.it
LA7 Cinema | la7d -> LA7.CINEMA.it | id:la7d
LA5 | la5 -> La.5.it | id:la5
Real Time | RealTime.it -> Real.Time.it | id:RealTime.it
Gambero Rosso | GamberoRosso.it -> Gambero.Rosso.HD.it | id:GamberoRosso.it
Food Network | foodnetwork.it -> Food.Network.it | id:foodnetwork.it
Cine 34 | cine34.it -> Cine34.it | id:cine34.it
RTL 102.5 TV | rtl102.5tv -> RTL.102.5.HD.it | id:rtl102.5tv
Discovery | discovery -> Discovery.Channel.it | id:discovery
Giallo | Giallo.it -> Giallo.TV.it | id:Giallo.it
Top Crime | TopCrime.it -> Top.Crime.it | id:TopCrime.it
Super! | super -> Super!.it | id:super
RaiNews 24 | rai news 24 -> RaiNews24.it | id:rai news 24
Italia 2 | Italia2.it -> Italia.2.it | id:Italia2.it
Sky TG24 SD | (vuoto) -> Sky.TG24.it | nome-verificato
TGCOM 24 | TGCom24.it -> TGCom.it | id:TGCom24.it
Mediaset Extra | MediasetExtra.it -> Mediaset.Extra.it | id:MediasetExtra.it
Rai Sport | raisport -> RaiSport.it | id:raisport
Solocalcio | ITBC4700002CO -> Solocalcio.it.it | id:ITBC4700002CO
Super Tennis | SuperTennis.it -> SuperTennis.HD.it | id:SuperTennis.it
Radio 105 TV | (vuoto) -> Radio.105.it | nome-verificato
R101 TV | R101TV -> R101tv.it | id:R101TV
Deejay TV | DeejayTV.it -> Deejay.TV.it | id:DeejayTV.it
Radio Italia TV | radioitaliatv -> Radio.Italia.TV.HD.it | id:radioitaliatv
Fashion TV | RakutenFashionTv.it -> Fashion.TV.it | id:RakutenFashionTv.it
QVC Italia | qvcitalia -> QVC.it | id:qvcitalia
Class CNBC | (vuoto) -> Class.CNBC.it | nome-verificato
Inter TV | (vuoto) -> Inter.TV.it | nome-verificato
ACI Sport TV | AciSportTV.it -> ACI.Sport.Tv.it | id:AciSportTV.it
BIKE | bikesmartmobility -> BIKE.it | id:bikesmartmobility
Solocalcio (25fps) | ITBC4700002CO -> Solocalcio.it.it | id:ITBC4700002CO
Rai Sport jolly 1 (attivo raramente) | raisport -> RaiSport.it | id:raisport
Rai Sport jolly 2 (attivo raramente) | raisport -> RaiSport.it | id:raisport
Virgin Radio TV | VirginRadioTV.it -> Virgin.Radio.it | id:VirginRadioTV.it
Radio Montecarlo TV | radiomontecarlotv -> RMC.it | id:radiomontecarlotv
Rai Radio 2 | rairadio2 -> RaiRadio2.it | id:rairadio2
Radio Freccia | (vuoto) -> RADIOFRECCIA.HD.it | nome-verificato
Radio Norba | (vuoto) -> RADIONORBA.TV.it | nome-verificato
Rete 4 (hls) | rete4 -> Rete.4.it | id:rete4
Canale 5 (hls) | canale5 -> Canale.5.it | id:canale5
Italia 1 (hls) | italia1 -> Italia.1.it | id:italia1
Mediaset 20 (hls) | 20Mediaset.it -> 20.it | id:20Mediaset.it
Rai 4 HbbTV raiway | rai4 -> Rai4.it | id:rai4
Rai 3 (hls) | rai3 -> Rai3.it | id:rai3
rai premium HbbTV akamai | (vuoto) -> RaiPremium.it | nome-verificato
Rai Premium hls | raipremium.it -> RaiPremium.it | id:raipremium.it
rai movie HbbTV raiway | (vuoto) -> RaiMovie.it | nome-verificato
rai 5 HbbTV raiway | (vuoto) -> Rai5.it | nome-verificato
rai yoyo HbbTV raiway | (vuoto) -> RaiYoyo.it | nome-verificato
rai gulp HbbTV raiway | (vuoto) -> RaiGulp.it | nome-verificato
rai scuola HbbTV raiway | (vuoto) -> RaiScuola.it | nome-verificato
rai storia HbbTV raiway | (vuoto) -> RaiStoria.it | nome-verificato
rai sport HbbTV raiway | (vuoto) -> RaiSport.it | nome-verificato
Rai Sport 900p | (vuoto) -> RaiSport.it | nome-verificato
Rai 1 | rai 1 -> Rai1.it | id:rai 1
Rai 2 | rai 2 -> Rai2.it | id:rai 2
Rai 3 | rai 3 -> Rai3.it | id:rai 3
Rete 4 | rete 4 -> Rete.4.it | id:rete 4
Canale 5 | canale 5 -> Canale.5.it | id:canale 5
Italia 1 | italia 1 -> Italia.1.it | id:italia 1
TV8 SD | Tv8.it -> TV8.HD.it | id:Tv8.it
Mediaset 20 | 20Mediaset.it -> 20.it | id:20Mediaset.it
Rai 4 | rai4 -> Rai4.it | id:rai4
Cielo SD | Cielo.it -> cielo.it | id:Cielo.it
Rai YoYo SD | RaiYoYo.it -> RaiYoyo.it | id:RaiYoYo.it
Rai 1 Europa | (vuoto) -> Rai1.it | nome-verificato
Rai 1 | (vuoto) -> Rai1.it | nome-verificato
Rai 2 Europa | (vuoto) -> Rai2.it | nome-verificato
Rai 3 | (vuoto) -> Rai3.it | nome-verificato
Rai 3 Europa | (vuoto) -> Rai3.it | nome-verificato
Rete 4 HD Europa | Rete4.it -> Rete.4.it | id:Rete4.it
Canale 5 HD Europa | Canale5.it -> Canale.5.it | id:Canale5.it
Italia 1 HD Europa | Italia1.it -> Italia.1.it | id:Italia1.it
LA7 HD | (vuoto) -> LA7.HD.it | nome-verificato
Mediaset 20 HD Europa | 20Mediaset.it -> 20.it | id:20Mediaset.it
Italia 2 HD Europa | Italia2.it -> Italia.2.it | id:Italia2.it
